id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
103342,Entire home/apt in Hell's Kitchen,325877,Chen,Manhattan,Hell's Kitchen,40.8185,-73.97873,Entire home/apt,94.0,1,4,2019-08-15,0.2,2,138
103343,Entire home/apt in Williamsburg,335863,Fatima,Brooklyn,Williamsburg,40.70188,-73.95771,Entire home/apt,123.0,7,22,2019-01-15,0.93,1,73
103344,Entire home/apt in Greenpoint,260769,Wei,Brooklyn,Greenpoint,40.67225,-73.937,Entire home/apt,142.0,30,4,2019-04-15,0.0,6,138
103345,Private room in Williamsburg,311396,Fatima,Brooklyn,Williamsburg,40.70529,-73.97301,Private room,69.0,1,4,2019-07-15,0.71,3,226
103346,Entire home/apt in Midtown,517735,John,Manhattan,Midtown,40.7632,-74.02545,Entire home/apt,153.0,2,8,2019-03-15,0.4,1,91
103347,Entire home/apt in Bushwick,337749,Fatima,Brooklyn,Bushwick,40.66658,-73.96036,Entire home/apt,83.0,5,5,2019-08-15,0.79,1,224
103348,Private room in Bushwick,582907,Wei,Brooklyn,Bushwick,40.66746,-73.94686,Private room,49.0,4,3,2019-03-15,0.0,1,365
103349,Entire home/apt in Bedford-Stuyvesant,251849,David,Brooklyn,Bedford-Stuyvesant,40.65997,-73.91128,Entire home/apt,139.0,1,3,2019-05-15,0.25,2,24
103350,Entire home/apt in Williamsburg,153339,Maria,Brooklyn,Williamsburg,40.63908,-73.94893,Entire home/apt,124.0,1,5,2019-03-15,0.35,1,0
103351,Entire home/apt in East Village,738353,Fatima,Manhattan,East Village,40.81462,-73.95001,Entire home/apt,166.0,4,13,2019-02-15,0.42,2,93
103352,Entire home/apt in Flushing,712170,Maria,Queens,Flushing,40.7371,-73.8053,Entire home/apt,77.0,7,4,2019-07-15,0.14,3,70
103353,Private room in Greenpoint,319808,Chen,Brooklyn,Greenpoint,40.66366,-73.94565,Private room,52.0,30,1,2019-03-15,0.99,2,99
103354,Entire home/apt in Upper West Side,18171,Chen,Manhattan,Upper West Side,40.75626,-73.98434,Entire home/apt,238.0,2,4,2019-03-15,0.66,3,338
103355,Entire home/apt in Chelsea,562686,Maria,Manhattan,Chelsea,40.79945,-73.96156,Entire home/apt,211.0,3,5,2019-01-15,0.41,1,18
103356,Private room in Tompkinsville,901766,Wei,Staten Island,Tompkinsville,40.57606,-74.14146,Private room,51.0,3,9,2019-08-15,0.54,1,0
103357,Private room in Park Slope,714669,Wei,Brooklyn,Park Slope,40.70643,-73.91766,Private room,85.0,2,3,2019-08-15,0.01,2,315
103358,Entire home/apt in Ridgewood,392439,Alex,Queens,Ridgewood,40.7522,-73.78299,Entire home/apt,78.0,14,3,2019-04-15,0.03,1,53
103359,Entire home/apt in East Village,941253,Wei,Manhattan,East Village,40.76751,-73.93119,Entire home/apt,188.0,4,7,2019-04-15,0.36,2,180
103360,Entire home/apt in Chelsea,827634,Alex,Manhattan,Chelsea,40.78169,-73.99325,Entire home/apt,207.0,2,7,2019-03-15,0.0,1,346
103361,Entire home/apt in Chelsea,559781,Alex,Manhattan,Chelsea,40.78924,-73.93867,Entire home/apt,144.0,2,16,2019-02-15,1.4,2,200
103362,Entire home/apt in Bushwick,123657,David,Brooklyn,Bushwick,40.69332,-73.91953,Entire home/apt,190.0,14,9,2019-03-15,0.62,3,70
103363,Entire home/apt in Bushwick,538054,Sara,Brooklyn,Bushwick,40.64574,-73.94275,Entire home/apt,170.0,1,6,2019-06-15,0.36,1,63
103364,Private room in Bushwick,476331,Miguel,Brooklyn,Bushwick,40.63649,-73.89654,Private room,69.0,3,11,2019-05-15,0.0,5,78
103365,Entire home/apt in Riverdale,965408,John,Bronx,Riverdale,40.83749,-73.87913,Entire home/apt,101.0,2,5,2019-06-15,0.07,1,347
103366,Entire home/apt in Hell's Kitchen,10976,Fatima,Manhattan,Hell's Kitchen,40.78376,-73.95204,Entire home/apt,204.0,30,2,2019-01-15,1.14,2,0
103367,Private room in Chelsea,16809,Chen,Manhattan,Chelsea,40.7774,-73.92124,Private room,66.0,4,5,2019-03-15,0.24,4,152
103368,Entire home/apt in Crown Heights,997230,Fatima,Brooklyn,Crown Heights,40.68605,-73.95934,Entire home/apt,148.0,1,8,2019-02-15,0.5,3,156
103369,Private room in East Village,530457,Wei,Manhattan,East Village,40.81893,-73.97533,Private room,105.0,2,2,2019-05-15,0.0,1,174
103370,Shared room in St. George,609224,Sara,Staten Island,St. George,40.59199,-74.14566,Shared room,23.0,1,14,2019-06-15,0.0,1,323
103371,Entire home/apt in Upper West Side,18900,John,Manhattan,Upper West Side,40.79493,-73.94721,Entire home/apt,222.0,4,14,2019-02-15,0.28,7,346
103372,Entire home/apt in Chelsea,361853,Chen,Manhattan,Chelsea,40.78559,-73.99223,Entire home/apt,237.0,1,7,2019-08-15,0.23,1,255
103373,Private room in Williamsburg,163212,David,Brooklyn,Williamsburg,40.70934,-73.93426,Private room,127.0,3,8,2019-06-15,0.73,3,188
103374,Entire home/apt in Bushwick,284663,Maria,Brooklyn,Bushwick,40.72622,-73.97861,Entire home/apt,93.0,5,10,2019-08-15,0.7,4,0
103375,Entire home/apt in Hell's Kitchen,346046,Miguel,Manhattan,Hell's Kitchen,40.80005,-74.0187,Entire home/apt,175.0,1,3,2019-05-15,0.0,2,287
103376,Private room in Bushwick,670850,Fatima,Brooklyn,Bushwick,40.6653,-73.99258,Private room,51.0,5,0,,,2,196
103377,Private room in Midtown,165698,Chen,Manhattan,Midtown,40.76218,-73.96999,Private room,171.0,5,18,2019-01-15,0.89,3,0
103378,Private room in Greenpoint,515400,Miguel,Brooklyn,Greenpoint,40.66244,-73.93821,Private room,53.0,1,7,2019-01-15,0.0,1,0
103379,Private room in Midtown,612631,Priya,Manhattan,Midtown,40.78876,-73.96761,Private room,158.0,2,6,2019-01-15,0.25,2,257
103380,Entire home/apt in East Village,653561,Wei,Manhattan,East Village,40.81068,-73.9446,Entire home/apt,221.0,7,12,2019-07-15,0.81,2,251
103381,Entire home/apt in Ridgewood,839164,Priya,Queens,Ridgewood,40.70222,-73.78251,Entire home/apt,68.0,1,7,2019-04-15,0.39,1,50
103382,Private room in Midtown,922479,Wei,Manhattan,Midtown,40.77302,-73.96,Private room,108.0,3,14,2019-06-15,0.78,1,361
103383,Entire home/apt in Crown Heights,807413,David,Brooklyn,Crown Heights,40.70629,-73.94547,Entire home/apt,143.0,3,10,2019-01-15,0.04,4,219
103384,Entire home/apt in Ridgewood,318243,John,Queens,Ridgewood,40.74445,-73.7783,Entire home/apt,81.0,7,9,2019-06-15,0.8,2,252
103385,Entire home/apt in Hell's Kitchen,562762,Wei,Manhattan,Hell's Kitchen,40.76556,-73.95317,Entire home/apt,232.0,3,6,2019-04-15,0.24,3,217
103386,Private room in Park Slope,206962,Sara,Brooklyn,Park Slope,40.65852,-73.96722,Private room,95.0,3,5,2019-07-15,0.19,1,165
103387,Private room in Bushwick,807854,Priya,Brooklyn,Bushwick,40.66427,-73.90272,Private room,51.0,30,7,2019-03-15,0.38,6,0
103388,Entire home/apt in East Village,556299,Chen,Manhattan,East Village,40.79509,-73.94356,Entire home/apt,351.0,4,9,2019-05-15,0.35,5,125
103389,Private room in Flushing,529455,Priya,Queens,Flushing,40.73822,-73.7206,Private room,39.0,14,4,2019-05-15,0.49,3,29
103390,Entire home/apt in Upper West Side,918723,Fatima,Manhattan,Upper West Side,40.76433,-73.95943,Entire home/apt,145.0,2,13,2019-02-15,0.32,2,50
103391,Entire home/apt in Mott Haven,157832,Sara,Bronx,Mott Haven,40.83289,-73.89397,Entire home/apt,63.0,2,3,2019-02-15,0.38,2,6
103392,Private room in Park Slope,595712,John,Brooklyn,Park Slope,40.67808,-73.95144,Private room,53.0,5,4,2019-05-15,0.44,1,282
103393,Entire home/apt in Long Island City,574663,John,Queens,Long Island City,40.75358,-73.80466,Entire home/apt,89.0,2,7,2019-02-15,0.08,1,95
103394,Private room in Astoria,710051,David,Queens,Astoria,40.71517,-73.81741,Private room,62.0,1,1,2019-08-15,0.06,1,160
103395,Private room in Harlem,41550,Fatima,Manhattan,Harlem,40.78599,-73.97397,Private room,104.0,14,4,2019-06-15,0.94,2,275
103396,Private room in Midtown,122881,Priya,Manhattan,Midtown,40.76753,-73.98454,Private room,114.0,1,14,2019-03-15,0.27,1,8
103397,Private room in Greenpoint,964706,Maria,Brooklyn,Greenpoint,40.6279,-73.95819,Private room,72.0,7,20,2019-03-15,1.33,1,0
103398,Entire home/apt in Bedford-Stuyvesant,933807,John,Brooklyn,Bedford-Stuyvesant,40.68218,-73.9007,Entire home/apt,155.0,14,7,2019-06-15,0.58,2,196
103399,Entire home/apt in Bushwick,832398,Sara,Brooklyn,Bushwick,40.6775,-73.9016,Entire home/apt,95.0,1,3,2019-05-15,0.0,1,113
103400,Entire home/apt in Chelsea,663544,Priya,Manhattan,Chelsea,40.74654,-74.02095,Entire home/apt,197.0,7,11,2019-07-15,1.01,2,59
103401,Entire home/apt in Upper East Side,764600,Wei,Manhattan,Upper East Side,40.78594,-73.99436,Entire home/apt,240.0,2,7,2019-02-15,0.47,7,241
103402,Private room in Flatbush,859066,Priya,Brooklyn,Flatbush,40.64285,-73.95516,Private room,39.0,14,3,2019-04-15,1.16,2,139
103403,Entire home/apt in Upper West Side,797648,Alex,Manhattan,Upper West Side,40.78128,-73.96099,Entire home/apt,277.0,1,5,2019-01-15,0.0,2,0
103404,Private room in Bushwick,445470,Alex,Brooklyn,Bushwick,40.65182,-73.91468,Private room,64.0,1,3,2019-08-15,0.0,4,0
103405,Entire home/apt in Upper West Side,162889,Sara,Manhattan,Upper West Side,40.75045,-73.98329,Entire home/apt,260.0,7,0,,,5,365
103406,Entire home/apt in Upper West Side,604589,Maria,Manhattan,Upper West Side,40.78849,-73.9626,Entire home/apt,292.0,1,5,2019-06-15,0.79,4,48
103407,Entire home/apt in Upper West Side,816859,Fatima,Manhattan,Upper West Side,40.81609,-74.02696,Entire home/apt,175.0,7,5,2019-07-15,0.31,2,33
103408,Private room in Crown Heights,828182,Priya,Brooklyn,Crown Heights,40.70176,-73.92816,Private room,70.0,2,10,2019-08-15,1.35,7,187
103409,Private room in Astoria,916893,Sara,Queens,Astoria,40.77726,-73.7728,Private room,34.0,7,1,2019-07-15,0.0,2,20
103410,Entire home/apt in Bedford-Stuyvesant,659435,Chen,Brooklyn,Bedford-Stuyvesant,40.66368,-73.93788,Entire home/apt,147.0,2,0,,,1,361
103411,Entire home/apt in Bedford-Stuyvesant,912707,David,Brooklyn,Bedford-Stuyvesant,40.68912,-73.94252,Entire home/apt,152.0,3,1,2019-02-15,0.37,2,95
103412,Entire home/apt in Upper East Side,194052,Sara,Manhattan,Upper East Side,40.79315,-73.94368,Entire home/apt,164.0,2,5,2019-02-15,0.0,4,291
103413,Private room in Financial District,809385,Maria,Manhattan,Financial District,40.79761,-73.9318,Private room,62.0,14,6,2019-06-15,0.0,2,189
103414,Entire home/apt in Bushwick,407275,Sara,Brooklyn,Bushwick,40.70127,-73.90183,Entire home/apt,141.0,1,12,2019-01-15,0.96,1,365
103415,Entire home/apt in Upper East Side,507544,Wei,Manhattan,Upper East Side,40.75464,-73.9893,Entire home/apt,265.0,4,10,2019-07-15,0.39,1,43
103416,Entire home/apt in Upper East Side,500302,John,Manhattan,Upper East Side,40.77673,-73.98811,Entire home/apt,145.0,1,6,2019-04-15,0.73,2,294
103417,Private room in Harlem,786428,Chen,Manhattan,Harlem,40.77737,-73.98171,Private room,73.0,30,15,2019-06-15,0.78,2,210
103418,Entire home/apt in Greenpoint,4975,Priya,Brooklyn,Greenpoint,40.68411,-73.91412,Entire home/apt,90.0,2,12,2019-08-15,0.44,3,166
103419,Private room in Bedford-Stuyvesant,18566,John,Brooklyn,Bedford-Stuyvesant,40.68802,-73.95592,Private room,118.0,5,3,2019-01-15,0.55,1,215
103420,Private room in Midtown,727415,Fatima,Manhattan,Midtown,40.79289,-73.98078,Private room,225.0,2,16,2019-08-15,0.0,1,144
103421,Private room in Mott Haven,64200,Alex,Bronx,Mott Haven,40.81169,-73.90393,Private room,33.0,2,4,2019-01-15,0.0,4,285
103422,Entire home/apt in Upper East Side,276863,Wei,Manhattan,Upper East Side,40.75318,-73.95693,Entire home/apt,299.0,5,4,2019-04-15,0.57,2,321
103423,Entire home/apt in Riverdale,678472,Alex,Bronx,Riverdale,40.86991,-73.91548,Entire home/apt,78.0,1,8,2019-07-15,0.5,2,170
103424,Private room in Midtown,530673,Miguel,Manhattan,Midtown,40.78435,-74.01287,Private room,92.0,2,4,2019-05-15,0.75,1,259
103425,Private room in Greenpoint,831101,Chen,Brooklyn,Greenpoint,40.69413,-73.90625,Private room,76.0,5,6,2019-08-15,0.0,5,317
103426,Private room in Hell's Kitchen,644818,Priya,Manhattan,Hell's Kitchen,40.78892,-73.98009,Private room,136.0,2,1,2019-08-15,0.34,4,132
103427,Private room in Chelsea,707134,Sara,Manhattan,Chelsea,40.74729,-73.99734,Private room,123.0,2,12,2019-06-15,0.33,5,0
103428,Entire home/apt in Midtown,573767,Wei,Manhattan,Midtown,40.81639,-73.93939,Entire home/apt,120.0,7,13,2019-07-15,0.44,3,295
103429,Private room in Bushwick,397101,Wei,Brooklyn,Bushwick,40.64387,-73.94102,Private room,64.0,4,2,2019-05-15,0.06,4,346
103430,Private room in Williamsburg,655300,Alex,Brooklyn,Williamsburg,40.66813,-73.95913,Private room,62.0,3,7,2019-06-15,1.7,3,274
103431,Private room in Financial District,511108,John,Manhattan,Financial District,40.72833,-73.93245,Private room,110.0,30,7,2019-07-15,0.13,1,289
103432,Private room in Crown Heights,694999,Priya,Brooklyn,Crown Heights,40.6476,-73.93521,Private room,107.0,2,9,2019-06-15,0.41,1,313
103433,Entire home/apt in Upper East Side,507020,Alex,Manhattan,Upper East Side,40.74975,-73.9787,Entire home/apt,233.0,2,18,2019-06-15,0.91,1,132
103434,Private room in Flushing,961569,Miguel,Queens,Flushing,40.72685,-73.79216,Private room,59.0,4,8,2019-05-15,0.73,2,41
103435,Shared room in Hell's Kitchen,310025,Maria,Manhattan,Hell's Kitchen,40.78812,-73.94644,Shared room,65.0,5,14,2019-08-15,0.48,1,13
103436,Entire home/apt in Greenpoint,370639,Sara,Brooklyn,Greenpoint,40.71019,-73.96943,Entire home/apt,96.0,1,5,2019-02-15,0.0,1,313
103437,Private room in Midtown,509923,Sara,Manhattan,Midtown,40.77017,-74.01119,Private room,80.0,7,7,2019-05-15,0.23,3,365
103438,Private room in Bushwick,480339,Wei,Brooklyn,Bushwick,40.65756,-73.94415,Private room,73.0,2,5,2019-03-15,0.19,3,79
103439,Entire home/apt in Hell's Kitchen,372428,John,Manhattan,Hell's Kitchen,40.74354,-73.98512,Entire home/apt,233.0,2,0,,,3,284
103440,Private room in Flushing,813550,John,Queens,Flushing,40.75181,-73.77439,Private room,39.0,1,12,2019-07-15,0.15,1,0
103441,Entire home/apt in Bushwick,136989,David,Brooklyn,Bushwick,40.68776,-73.94222,Entire home/apt,103.0,3,3,2019-07-15,0.0,3,132
103442,Entire home/apt in Upper East Side,6735,Maria,Manhattan,Upper East Side,40.80057,-74.03061,Entire home/apt,296.0,2,12,2019-01-15,0.87,2,232
103443,Entire home/apt in Upper East Side,343299,Priya,Manhattan,Upper East Side,40.76862,-73.97094,Entire home/apt,180.0,30,10,2019-05-15,0.0,1,225
103444,Private room in Flatbush,451276,Maria,Brooklyn,Flatbush,40.66263,-73.97958,Private room,62.0,2,18,2019-08-15,0.81,3,0
103445,Private room in Hell's Kitchen,611840,Priya,Manhattan,Hell's Kitchen,40.75193,-74.02372,Private room,72.0,1,3,2019-01-15,0.24,1,0
103446,Private room in Chelsea,425693,Alex,Manhattan,Chelsea,40.76473,-74.00395,Private room,173.0,2,9,2019-06-15,0.0,3,225
103447,Private room in Flatbush,247009,Alex,Brooklyn,Flatbush,40.68749,-73.92588,Private room,58.0,3,9,2019-08-15,0.0,1,85
103448,Entire home/apt in Midtown,216499,Wei,Manhattan,Midtown,40.76123,-73.98519,Entire home/apt,411.0,3,0,,,1,0
103449,Entire home/apt in Ridgewood,905124,Alex,Queens,Ridgewood,40.71893,-73.74499,Entire home/apt,114.0,4,8,2019-04-15,0.14,1,254
103450,Entire home/apt in Midtown,452736,Fatima,Manhattan,Midtown,40.79784,-73.96152,Entire home/apt,162.0,1,10,2019-06-15,0.74,3,33
103451,Private room in Flatbush,494658,David,Brooklyn,Flatbush,40.66156,-73.96919,Private room,63.0,2,21,2019-03-15,0.55,2,72
103452,Private room in Upper West Side,249047,Chen,Manhattan,Upper West Side,40.79988,-73.94299,Private room,108.0,5,9,2019-05-15,0.0,1,292
103453,Private room in Williamsburg,268835,Miguel,Brooklyn,Williamsburg,40.69715,-73.90252,Private room,113.0,7,22,2019-05-15,0.77,1,92
103454,Private room in Upper East Side,492474,Sara,Manhattan,Upper East Side,40.79215,-73.99264,Private room,122.0,2,10,2019-04-15,0.77,2,203
103455,Private room in Long Island City,516608,David,Queens,Long Island City,40.73828,-73.7373,Private room,49.0,14,6,2019-04-15,0.67,3,218
103456,Entire home/apt in Midtown,678973,Miguel,Manhattan,Midtown,40.77847,-74.01102,Entire home/apt,180.0,5,10,2019-01-15,0.35,2,44
103457,Private room in Bushwick,602404,David,Brooklyn,Bushwick,40.66468,-73.93925,Private room,67.0,2,7,2019-05-15,0.95,3,106
103458,Private room in Bushwick,235865,Chen,Brooklyn,Bushwick,40.67055,-73.93414,Private room,60.0,1,9,2019-04-15,0.52,1,181
103459,Entire home/apt in Financial District,115782,Maria,Manhattan,Financial District,40.78001,-73.99294,Entire home/apt,140.0,30,4,2019-07-15,0.27,2,246
103460,Private room in Financial District,165478,Priya,Manhattan,Financial District,40.73998,-73.96101,Private room,94.0,1,8,2019-05-15,0.7,1,3
103461,Entire home/apt in Bedford-Stuyvesant,345409,David,Brooklyn,Bedford-Stuyvesant,40.69491,-73.98174,Entire home/apt,86.0,2,1,2019-04-15,0.47,2,242
103462,Private room in Upper West Side,471808,Wei,Manhattan,Upper West Side,40.77413,-73.98401,Private room,107.0,4,3,2019-02-15,0.29,4,0
103463,Private room in Bedford-Stuyvesant,272542,Wei,Brooklyn,Bedford-Stuyvesant,40.67505,-74.01208,Private room,87.0,7,4,2019-06-15,0.02,2,216
103464,Entire home/apt in Midtown,987475,Priya,Manhattan,Midtown,40.75228,-73.9967,Entire home/apt,207.0,2,4,2019-06-15,0.34,3,93
103465,Entire home/apt in Hell's Kitchen,251213,Maria,Manhattan,Hell's Kitchen,40.80077,-73.97683,Entire home/apt,218.0,1,4,2019-02-15,0.0,1,245
103466,Shared room in Midtown,504764,Miguel,Manhattan,Midtown,40.80121,-73.98444,Shared room,67.0,2,7,2019-07-15,0.64,1,198
103467,Entire home/apt in Upper East Side,203911,Fatima,Manhattan,Upper East Side,40.82163,-73.95714,Entire home/apt,229.0,5,18,2019-01-15,0.3,1,75
103468,Private room in Upper East Side,235204,John,Manhattan,Upper East Side,40.78029,-73.98119,Private room,109.0,7,11,2019-08-15,0.29,2,0
103469,Private room in Williamsburg,563324,Priya,Brooklyn,Williamsburg,40.69733,-73.92783,Private room,80.0,2,12,2019-08-15,0.24,4,304
103470,Entire home/apt in Flatbush,684833,Alex,Brooklyn,Flatbush,40.67251,-73.89548,Entire home/apt,153.0,1,4,2019-08-15,0.16,1,338
103471,Entire home/apt in Greenpoint,310419,Wei,Brooklyn,Greenpoint,40.6793,-73.96054,Entire home/apt,103.0,7,7,2019-04-15,0.24,2,173
103472,Entire home/apt in Harlem,53874,Chen,Manhattan,Harlem,40.79172,-74.04701,Entire home/apt,118.0,3,6,2019-08-15,0.55,4,80
103473,Entire home/apt in Greenpoint,829605,David,Brooklyn,Greenpoint,40.66401,-73.97388,Entire home/apt,155.0,2,24,2019-05-15,0.83,8,365
103474,Entire home/apt in Bedford-Stuyvesant,828417,Fatima,Brooklyn,Bedford-Stuyvesant,40.67386,-73.93228,Entire home/apt,112.0,7,3,2019-06-15,0.04,4,257
103475,Shared room in Crown Heights,234967,Fatima,Brooklyn,Crown Heights,40.68718,-73.92232,Shared room,83.0,1,6,2019-05-15,0.29,2,316
103476,Private room in Upper West Side,593111,David,Manhattan,Upper West Side,40.77094,-73.98108,Private room,84.0,2,6,2019-04-15,0.09,1,0
103477,Entire home/apt in Flatbush,30883,Chen,Brooklyn,Flatbush,40.68622,-73.9569,Entire home/apt,200.0,14,15,2019-06-15,0.86,2,246
103478,Entire home/apt in Chelsea,562031,David,Manhattan,Chelsea,40.75191,-73.95053,Entire home/apt,171.0,1,15,2019-07-15,0.59,1,169
103479,Entire home/apt in Flatbush,849967,Alex,Brooklyn,Flatbush,40.65596,-73.96522,Entire home/apt,124.0,4,5,2019-02-15,0.81,2,67
103480,Private room in Harlem,31185,John,Manhattan,Harlem,40.83719,-73.99809,Private room,88.0,2,9,2019-03-15,0.0,3,94
103481,Entire home/apt in Crown Heights,26165,Priya,Brooklyn,Crown Heights,40.65091,-73.95066,Entire home/apt,98.0,2,3,2019-05-15,0.0,2,0
103482,Private room in Bushwick,698914,Alex,Brooklyn,Bushwick,40.65882,-73.94415,Private room,116.0,14,18,2019-03-15,0.0,4,0
103483,Private room in East Village,782761,Chen,Manhattan,East Village,40.74826,-73.97111,Private room,108.0,4,4,2019-07-15,0.82,1,0
103484,Private room in Financial District,183025,Fatima,Manhattan,Financial District,40.76538,-73.94333,Private room,136.0,1,12,2019-08-15,0.85,1,0
103485,Entire home/apt in Long Island City,366805,Miguel,Queens,Long Island City,40.72588,-73.81298,Entire home/apt,78.0,5,1,2019-03-15,0.12,2,72
103486,Entire home/apt in East Village,885731,Maria,Manhattan,East Village,40.74802,-73.98567,Entire home/apt,317.0,5,6,2019-07-15,0.25,2,134
103487,Entire home/apt in Williamsburg,117209,Wei,Brooklyn,Williamsburg,40.67279,-73.91075,Entire home/apt,165.0,2,8,2019-06-15,0.17,3,136
103488,Private room in Greenpoint,531920,David,Brooklyn,Greenpoint,40.72443,-73.94734,Private room,94.0,5,7,2019-08-15,0.0,2,278
103489,Entire home/apt in Chelsea,358735,Miguel,Manhattan,Chelsea,40.79039,-73.96479,Entire home/apt,178.0,3,5,2019-01-15,0.31,2,131
103490,Private room in Midtown,922162,Chen,Manhattan,Midtown,40.78895,-73.99877,Private room,113.0,3,8,2019-02-15,0.73,3,250
103491,Private room in Crown Heights,416684,Wei,Brooklyn,Crown Heights,40.68255,-73.98827,Private room,90.0,2,2,2019-05-15,0.72,1,365
103492,Entire home/apt in Bushwick,342179,Maria,Brooklyn,Bushwick,40.70327,-73.91505,Entire home/apt,174.0,1,0,,,3,0
103493,Private room in Astoria,193153,John,Queens,Astoria,40.76926,-73.78575,Private room,25.0,2,6,2019-01-15,0.04,4,159
103494,Entire home/apt in Mott Haven,684256,Priya,Bronx,Mott Haven,40.83695,-73.85886,Entire home/apt,57.0,1,5,2019-02-15,0.0,2,222
103495,Private room in East Village,830725,Sara,Manhattan,East Village,40.7796,-73.97404,Private room,77.0,5,4,2019-04-15,0.15,3,0
103496,Entire home/apt in Williamsburg,631793,Chen,Brooklyn,Williamsburg,40.69747,-73.98174,Entire home/apt,203.0,2,9,2019-03-15,0.32,3,191
103497,Entire home/apt in Park Slope,731246,David,Brooklyn,Park Slope,40.6889,-73.91214,Entire home/apt,140.0,2,1,2019-05-15,0.0,1,93
103498,Entire home/apt in Chelsea,281507,Chen,Manhattan,Chelsea,40.769,-73.99699,Entire home/apt,216.0,2,13,2019-07-15,0.29,3,204
103499,Private room in Chelsea,120234,Sara,Manhattan,Chelsea,40.79933,-74.04051,Private room,137.0,2,10,2019-07-15,0.49,1,349
103500,Entire home/apt in East Village,920974,Priya,Manhattan,East Village,40.75851,-73.99357,Entire home/apt,120.0,7,9,2019-02-15,0.12,2,149
103501,Entire home/apt in Midtown,688631,Sara,Manhattan,Midtown,40.75863,-73.97009,Entire home/apt,207.0,4,0,,,1,292
103502,Private room in Crown Heights,233075,Fatima,Brooklyn,Crown Heights,40.68403,-73.96291,Private room,112.0,1,7,2019-02-15,0.2,1,62
103503,Private room in Bedford-Stuyvesant,536390,Maria,Brooklyn,Bedford-Stuyvesant,40.68924,-73.9353,Private room,86.0,2,24,2019-04-15,0.28,3,91
103504,Entire home/apt in Financial District,806744,Sara,Manhattan,Financial District,40.79056,-74.00666,Entire home/apt,184.0,4,2,2019-02-15,0.2,1,74
103505,Private room in Upper East Side,486222,Wei,Manhattan,Upper East Side,40.74088,-73.98401,Private room,175.0,1,4,2019-01-15,0.56,5,128
103506,Entire home/apt in Flushing,989965,Chen,Queens,Flushing,40.73168,-73.73355,Entire home/apt,94.0,3,6,2019-07-15,0.2,3,333
103507,Private room in Astoria,545252,Maria,Queens,Astoria,40.72048,-73.80257,Private room,62.0,2,6,2019-05-15,0.0,5,0
103508,Entire home/apt in Long Island City,272013,Miguel,Queens,Long Island City,40.78476,-73.76711,Entire home/apt,75.0,3,12,2019-07-15,0.79,1,0
103509,Entire home/apt in Williamsburg,861321,David,Brooklyn,Williamsburg,40.67873,-73.95591,Entire home/apt,106.0,4,9,2019-01-15,0.78,2,197
103510,Private room in Chelsea,527244,Fatima,Manhattan,Chelsea,40.7318,-73.98671,Private room,78.0,1,3,2019-04-15,0.03,1,119
103511,Entire home/apt in Crown Heights,232410,Miguel,Brooklyn,Crown Heights,40.65405,-73.94902,Entire home/apt,255.0,4,4,2019-02-15,0.25,3,29
103512,Private room in Upper East Side,199603,Wei,Manhattan,Upper East Side,40.7881,-73.99105,Private room,92.0,2,15,2019-03-15,0.62,1,122
103513,Entire home/apt in Upper East Side,668547,David,Manhattan,Upper East Side,40.79641,-74.00835,Entire home/apt,155.0,5,8,2019-05-15,0.29,1,72
103514,Entire home/apt in Flatbush,307881,John,Brooklyn,Flatbush,40.65896,-73.98046,Entire home/apt,156.0,1,6,2019-03-15,0.7,3,99
103515,Entire home/apt in Upper East Side,556840,Sara,Manhattan,Upper East Side,40.75815,-73.93776,Entire home/apt,225.0,3,6,2019-08-15,0.0,1,51
103516,Private room in Greenpoint,659933,Priya,Brooklyn,Greenpoint,40.707,-73.94472,Private room,83.0,1,2,2019-01-15,0.0,1,312
103517,Entire home/apt in Mott Haven,169673,Maria,Bronx,Mott Haven,40.81068,-73.88772,Entire home/apt,66.0,5,3,2019-07-15,0.08,2,30
103518,Private room in Long Island City,118380,John,Queens,Long Island City,40.76934,-73.75928,Private room,43.0,1,8,2019-05-15,0.9,5,363
103519,Private room in Williamsburg,311878,Maria,Brooklyn,Williamsburg,40.65275,-74.00393,Private room,63.0,5,9,2019-03-15,0.0,4,134
103520,Private room in Upper East Side,466712,John,Manhattan,Upper East Side,40.78128,-73.98068,Private room,132.0,1,26,2019-04-15,0.41,3,345
103521,Private room in Mott Haven,361456,David,Bronx,Mott Haven,40.83354,-73.9212,Private room,31.0,1,3,2019-04-15,0.18,2,86
103522,Private room in East Village,392178,Miguel,Manhattan,East Village,40.77585,-73.96132,Private room,120.0,3,10,2019-05-15,0.38,1,316
103523,Private room in Crown Heights,274640,Fatima,Brooklyn,Crown Heights,40.67797,-73.96592,Private room,113.0,7,7,2019-07-15,0.0,4,121
103524,Private room in Ridgewood,624579,Wei,Queens,Ridgewood,40.74904,-73.74811,Private room,52.0,2,1,2019-06-15,0.53,5,192
103525,Private room in Upper West Side,870207,Wei,Manhattan,Upper West Side,40.79087,-73.97004,Private room,110.0,2,2,2019-01-15,0.0,2,155
103526,Entire home/apt in Midtown,304725,Maria,Manhattan,Midtown,40.74553,-73.95171,Entire home/apt,203.0,7,12,2019-02-15,0.32,1,88
